"coops","dry-mode","gc.algo","gc.threads","heap.old","jvm","-","host","pause.avg","pause.count","pause.sdev","pause.sqtotal","pause.total"
"false","true","cms","4","20","hs7u15","","longmrdfappd2","199.11720698254365","401","6.605274713775212","15916208","79846"
"false","true","cms","16","1.5","hs7u15","","longmrdfappd2","5.8104738154613464","401","4.558184661290238","21870","2330"
"false","true","cms","32","1.5","hs7u15","","longmrdfappd2","5.6259351620947635","401","2.413537399511024","15028","2256"
"false","false","cms","48","8","hs7u15","","longmrdfappd3","134.32668329177056","401","11.69907433821241","7290391","53865"
"true","false","cms","48","20","hs7u15","","longmrdfappd1","167.97506234413964","401","9.701241741667952","11352204","67358"
"true","false","cms","4","1.5","hs7u15","","longmrdfappd3","308.1471321695761","401","18.594392150762186","38215463","123567"
"true","true","cms","16","1.5","hs7u15","","longmrdfappd3","5.932668329177058","401","8.249413497611997","41403","2379"
"false","false","cms","4","20","hs7u15","","longmrdfappd2","593.5336658354115","401","37.68876994977678","141834765","238007"
"false","true","cms","48","2","hs7u15","","longmrdfappd2","10.11221945137157","401","6.2841982339128135","56841","4055"
"true","true","cms","32","28","hs7u15","","longmrdfappd1","45.042394014962596","401","8.499417510002687","842524","18062"
"true","false","cms","4","1","hs7u15","","longmrdfappd3","245.44638403990024","401","17.121474263035847","24275366","98424"
"true","false","cms","24","1.5","hs7u15","","longmrdfappd1","125.10473815461347","401","10.905351245114273","6323819","50167"
"false","false","cms","16","1","hs7u15","","longmrdfappd3","123.97506234413964","401","49.504017586108006","7146006","49714"
"false","true","cms","24","1","hs7u15","","longmrdfappd1","4.688279301745636","401","3.952976375622543","15080","1880"
"false","true","cms","32","2","hs7u15","","longmrdfappd3","6.6633416458852865","401","3.791166765242804","23568","2672"
"true","true","cms","16","3","hs7u15","","longmrdfappd3","10.052369077306734","401","10.245843418433337","82617","4031"
"true","true","cms","48","0.7","hs7u15","","longmrdfappd3","9.531172069825436","401","8.87202731629391","67992","3822"
"true","false","cms","48","20","hs7u15","","longmrdfappd2","171.23441396508727","401","9.131071762907082","11791245","68665"
"false","true","cms","32","20","hs7u15","","longmrdfappd1","31.977556109725686","401","3.081923001795505","413857","12823"
"false","true","cms","48","8","hs7u15","","longmrdfappd1","16.13715710723192","401","6.469852657844693","121209","6471"
"true","false","cms","48","4","hs7u15","","longmrdfappd2","134.64089775561098","401","9.644593187255232","7306697","53991"
"false","true","cms","16","28","hs7u15","","longmrdfappd3","97.3640897755611","401","1.2261112754440335","3801989","39043"
"false","false","cms","8","1.5","hs7u15","","longmrdfappd2","156.83042394014961","401","8.531950925979237","9892099","62889"
"false","true","cms","32","1.5","hs7u15","","longmrdfappd3","5.875311720698255","401","7.683217709992306","37514","2356"
"true","false","cms","8","0.7","hs7u15","","longmrdfappd3","130.35910224438902","401","10.746720114016254","6860704","52274"
"false","false","cms","8","4","hs7u15","","longmrdfappd2","253.39900249376558","401","10.877481326230393","25796079","101613"
"false","false","cms","4","28","hs7u15","","longmrdfappd1","637.0448877805486","401","44.90908499693301","163545049","255455"
"true","true","cms","8","20","hs7u15","","longmrdfappd2","101.35162094763092","401","12.509290457359855","4181882","40642"
